"Parameter1","Value1","Parameter2","Value2","MSE","runtime_training","runtime_prediction"
"num.trees",1,"mtry",39,2112913214.63954,0.0399999999999636,0.0199999999995271
"num.trees",1,"mtry",40,1499548154.16965,0.0299999999997453,0.0300000000006548
"num.trees",1,"mtry",41,1397750537.43989,0.0500000000001819,0.0299999999997453
"num.trees",1,"mtry",42,1319882881.30988,0.0500000000001819,0.00999999999930878
"num.trees",1,"mtry",43,1338587765.48401,0.0500000000001819,0.0199999999995271
"num.trees",1,"mtry",44,1667410797.82828,0.0300000000006548,0.0100000000002183
"num.trees",1,"mtry",45,1599392365.26492,0.0299999999997453,0.0299999999997453
"num.trees",1,"mtry",46,1770922905.61699,0.0299999999997453,0.0199999999995271
"num.trees",1,"mtry",47,1587768581.28265,0.069999999999709,0.00999999999930878
"num.trees",1,"mtry",48,1464290668.43193,0.0500000000001819,0.0199999999995271
"num.trees",1,"mtry",49,1276162691.49424,0.0399999999999636,0.0300000000006548
"num.trees",1,"mtry",50,1829459240.74314,0.0600000000004002,0.0200000000004366
"num.trees",1,"mtry",51,1404805786.23518,0.0399999999999636,0.0199999999995271
"num.trees",1,"mtry",52,1790298656.85147,0.0500000000001819,0.00999999999930878
"num.trees",1,"mtry",53,1700832300.66319,0.0599999999994907,0.0199999999995271
"num.trees",1,"mtry",54,1663602983.5603,0.0500000000001819,0.0100000000002183
"num.trees",1,"mtry",55,1886037962.54879,0.0399999999999636,0.0299999999997453
"num.trees",1,"mtry",56,1269825853.03842,0.0500000000001819,0.0299999999997453
"num.trees",1,"mtry",57,1248959010.51026,0.0500000000001819,0.0199999999995271
"num.trees",1,"mtry",58,1811849516.53061,0.0499999999992724,0.0199999999995271
"num.trees",1,"mtry",59,1546339047.74305,0.0399999999999636,0.0100000000002183
"num.trees",1,"mtry",60,1701144487.35674,0.0399999999999636,0.0199999999995271
"num.trees",2,"mtry",1,1779866270.65282,0.0200000000004366,0.0300000000006548
"num.trees",2,"mtry",2,1534955333.0117,0.0299999999997453,0.0200000000004366
"num.trees",2,"mtry",3,1580096868.86111,0.0300000000006548,0.0100000000002183
"num.trees",2,"mtry",4,1417283354.10972,0.0299999999997453,0.0199999999995271
"num.trees",2,"mtry",5,1404300055.47067,0.0500000000001819,0.0399999999999636
"num.trees",2,"mtry",6,1092507744.26032,0.0300000000006548,0.0100000000002183
"num.trees",2,"mtry",7,1156052932.91765,0.0299999999997453,0.0199999999995271
"num.trees",2,"mtry",8,1190989951.96305,0.0299999999997453,0.0300000000006548
"num.trees",2,"mtry",9,1068208218.84991,0.0299999999997453,0.00999999999930878
"num.trees",2,"mtry",10,1244559889.05381,0.0299999999997453,0.0399999999999636
"num.trees",2,"mtry",11,1330272991.05525,0.0199999999995271,0.0100000000002183
"num.trees",2,"mtry",12,1180408438.03064,0.0399999999999636,0.0100000000002183
"num.trees",2,"mtry",13,1084600166.64532,0.0300000000006548,0.0200000000004366
"num.trees",2,"mtry",14,996033049.959005,0.0299999999997453,0.0200000000004366
"num.trees",2,"mtry",15,1257326140.8007,0.0399999999999636,0.0199999999995271
"num.trees",2,"mtry",16,1213793936.57089,0.0299999999997453,0.0299999999997453
"num.trees",2,"mtry",17,1142032500.86273,0.0299999999997453,0.0200000000004366
"num.trees",2,"mtry",18,942331015.90344,0.0300000000006548,0.0100000000002183
"num.trees",2,"mtry",19,881925595.304471,0.0299999999997453,0.0199999999995271
"num.trees",2,"mtry",20,1167348592.7672,0.0500000000001819,0.0200000000004366
"num.trees",2,"mtry",21,1389391248.96612,0.0399999999999636,0.0200000000004366
"num.trees",2,"mtry",22,1233122116.08317,0.0299999999997453,0.0299999999997453
"num.trees",2,"mtry",23,977122299.755309,0.0299999999997453,0.0100000000002183
"num.trees",2,"mtry",24,1095516310.94163,0.0299999999997453,0.0199999999995271
"num.trees",2,"mtry",25,1209459353.2024,0.0300000000006548,0.00999999999930878
"num.trees",2,"mtry",26,1067410508.98364,0.0500000000001819,0.0100000000002183
"num.trees",2,"mtry",27,1421751685.72602,0.0500000000001819,0.00999999999930878
"num.trees",2,"mtry",28,1022915705.26257,0.0299999999997453,0.0300000000006548
"num.trees",2,"mtry",29,1193239107.4893,0.0299999999997453,0.0199999999995271
"num.trees",2,"mtry",30,1324818470.66707,0.0399999999999636,0.0399999999999636
"num.trees",2,"mtry",31,1053840286.38577,0.0500000000001819,0.0299999999997453
"num.trees",2,"mtry",32,864012994.006068,0.069999999999709,0.0200000000004366
"num.trees",2,"mtry",33,1098600284.5245,0.0500000000001819,0.0200000000004366
"num.trees",2,"mtry",34,987172755.50479,0.0499999999992724,0.0399999999999636
"num.trees",2,"mtry",35,1027845006.45617,0.0399999999999636,0.0100000000002183
"num.trees",2,"mtry",36,1227185512.095,0.0499999999992724,0.0300000000006548
"num.trees",2,"mtry",37,1331734099.35891,0.0300000000006548,0.0100000000002183
"num.trees",2,"mtry",38,1176501326.41056,0.0299999999997453,0.0299999999997453
"num.trees",2,"mtry",39,1227716554.24121,0.0399999999999636,0.00999999999930878
"num.trees",2,"mtry",40,963961332.296341,0.0500000000001819,0.00999999999930878
"num.trees",2,"mtry",41,1023201456.54368,0.0399999999999636,0.0199999999995271
"num.trees",2,"mtry",42,1004630627.19407,0.0399999999999636,0.0199999999995271
"num.trees",2,"mtry",43,948496860.135259,0.0500000000001819,0.0200000000004366
"num.trees",2,"mtry",44,1149700593.95035,0.0500000000001819,0.0299999999997453
"num.trees",2,"mtry",45,1041463998.12779,0.0399999999999636,0.0100000000002183
"num.trees",2,"mtry",46,1114027080.31016,0.0700000000006185,0.0100000000002183
"num.trees",2,"mtry",47,1248136623.49458,0.0499999999992724,0.0100000000002183
"num.trees",2,"mtry",48,1015749533.6658,0.0500000000001819,0.0199999999995271
"num.trees",2,"mtry",49,946695134.305444,0.0500000000001819,0.0100000000002183
"num.trees",2,"mtry",50,1035599318.86672,0.0399999999999636,0.00999999999930878
"num.trees",2,"mtry",51,1065022612.35138,0.0499999999992724,0.0100000000002183
"num.trees",2,"mtry",52,1050644470.87047,0.0600000000004002,0.0100000000002183
"num.trees",2,"mtry",53,1088750883.04999,0.0500000000001819,0.0299999999997453
"num.trees",2,"mtry",54,1011902491.29128,0.0399999999999636,0.0199999999995271
"num.trees",2,"mtry",55,1016882061.01596,0.0500000000001819,0.0299999999997453
"num.trees",2,"mtry",56,940281659.213746,0.0399999999999636,0.0199999999995271
"num.trees",2,"mtry",57,886133072.22241,0.0500000000001819,0.0200000000004366
"num.trees",2,"mtry",58,1077616528.54646,0.0500000000001819,0.0200000000004366
"num.trees",2,"mtry",59,937402975.120273,0.0499999999992724,0.0100000000002183
"num.trees",2,"mtry",60,962875118.508452,0.0399999999999636,0.0100000000002183
"num.trees",3,"mtry",1,1482114428.49696,0.0200000000004366,0.0399999999999636
"num.trees",3,"mtry",2,1238212344.8689,0.0300000000006548,0.0199999999995271
"num.trees",3,"mtry",3,1285802787.32236,0.0200000000004366,0.0200000000004366
"num.trees",3,"mtry",4,1261982610.77253,0.0299999999997453,0.0200000000004366
"num.trees",3,"mtry",5,1000100052.37955,0.0399999999999636,0.0299999999997453
"num.trees",3,"mtry",6,824534692.762969,0.0299999999997453,0.0200000000004366
"num.trees",3,"mtry",7,988499594.995978,0.0299999999997453,0.0199999999995271
"num.trees",3,"mtry",8,888077333.97387,0.0299999999997453,0.0100000000002183
"num.trees",3,"mtry",9,896317348.791158,0.0399999999999636,0.0199999999995271
"num.trees",3,"mtry",10,1157775896.74841,0.0100000000002183,0.0100000000002183
"num.trees",3,"mtry",11,985687153.829003,0.0299999999997453,0.0199999999995271
"num.trees",3,"mtry",12,943632459.22093,0.0299999999997453,0.0100000000002183
"num.trees",3,"mtry",13,846518238.087436,0.0299999999997453,0.0399999999999636
"num.trees",3,"mtry",14,765700006.421373,0.0399999999999636,0.0300000000006548
"num.trees",3,"mtry",15,953794856.477815,0.0300000000006548,0.0299999999997453
"num.trees",3,"mtry",16,859946221.983021,0.0299999999997453,0.0200000000004366
"num.trees",3,"mtry",17,975783914.153723,0.0300000000006548,0.0299999999997453
"num.trees",3,"mtry",18,809873742.601933,0.0299999999997453,0.0199999999995271
"num.trees",3,"mtry",19,746550096.129221,0.0399999999999636,0.0300000000006548
"num.trees",3,"mtry",20,938349260.769401,0.0399999999999636,0.00999999999930878
"num.trees",3,"mtry",21,996379562.418085,0.0500000000001819,0.0299999999997453
"num.trees",3,"mtry",22,1036584941.60745,0.0399999999999636,0.0299999999997453
"num.trees",3,"mtry",23,922445756.121853,0.0300000000006548,0.0199999999995271
"num.trees",3,"mtry",24,897812013.66234,0.0399999999999636,0.0200000000004366
"num.trees",3,"mtry",25,1019425318.98414,0.0299999999997453,0.00999999999930878
"num.trees",3,"mtry",26,941665089.006636,0.0499999999992724,0.0100000000002183
"num.trees",3,"mtry",27,1198942346.64955,0.0399999999999636,0.0100000000002183
"num.trees",3,"mtry",28,881440400.702579,0.0500000000001819,0.0300000000006548
"num.trees",3,"mtry",29,966026176.472227,0.0500000000001819,0.0100000000002183
"num.trees",3,"mtry",30,1108299425.05365,0.0299999999997453,0.0200000000004366
"num.trees",3,"mtry",31,904058313.568261,0.0500000000001819,0.0299999999997453
"num.trees",3,"mtry",32,760430429.859554,0.0499999999992724,0.0200000000004366
"num.trees",3,"mtry",33,935248167.671386,0.0500000000001819,0.0100000000002183
"num.trees",3,"mtry",34,881378960.086267,0.0600000000004002,0.0299999999997453
"num.trees",3,"mtry",35,865576152.595566,0.0299999999997453,0.0200000000004366
"num.trees",3,"mtry",36,985395023.437971,0.0399999999999636,0.0199999999995271
"num.trees",3,"mtry",37,1118693451.3108,0.0399999999999636,0.0199999999995271
"num.trees",3,"mtry",38,1048417748.67046,0.0299999999997453,0.0300000000006548
"num.trees",3,"mtry",39,1038695536.29191,0.0500000000001819,0.0299999999997453
"num.trees",3,"mtry",40,844500835.360426,0.0399999999999636,0.0200000000004366
"num.trees",3,"mtry",41,896456126.82114,0.0299999999997453,0.0200000000004366
"num.trees",3,"mtry",42,853677352.608996,0.0500000000001819,0.0299999999997453
"num.trees",3,"mtry",43,893084468.917599,0.0300000000006548,0.00999999999930878
"num.trees",3,"mtry",44,850096195.061665,0.0500000000001819,0.0300000000006548
"num.trees",3,"mtry",45,928200433.56916,0.0399999999999636,0.0199999999995271
"num.trees",3,"mtry",46,953422383.651654,0.0499999999992724,0.0299999999997453
"num.trees",3,"mtry",47,898756818.692372,0.0500000000001819,0.0200000000004366
"num.trees",3,"mtry",48,864535820.291157,0.0399999999999636,0.0299999999997453
"num.trees",3,"mtry",49,775142881.563569,0.0399999999999636,0.0299999999997453
"num.trees",3,"mtry",50,899947063.754732,0.0499999999992724,0.0199999999995271
"num.trees",3,"mtry",51,827860066.025865,0.0399999999999636,0.0100000000002183
"num.trees",3,"mtry",52,950831476.229051,0.0500000000001819,0.00999999999930878
"num.trees",3,"mtry",53,1012319671.38862,0.0500000000001819,0.0100000000002183
"num.trees",3,"mtry",54,804725483.671025,0.0500000000001819,0.0100000000002183
"num.trees",3,"mtry",55,932865960.782719,0.0500000000001819,0.0200000000004366
"num.trees",3,"mtry",56,837716987.941251,0.0399999999999636,0.0199999999995271
"num.trees",3,"mtry",57,715759076.650652,0.0399999999999636,0.0200000000004366
"num.trees",3,"mtry",58,862221283.161541,0.0399999999999636,0.0200000000004366
"num.trees",3,"mtry",59,801469540.362974,0.0500000000001819,0.0100000000002183
"num.trees",3,"mtry",60,700231667.123588,0.0500000000001819,0.00999999999930878
"num.trees",4,"mtry",1,1745062818.64361,0.0299999999997453,0.0200000000004366
"num.trees",4,"mtry",2,1033058454.47606,0.0300000000006548,0.0100000000002183
"num.trees",4,"mtry",3,1099227345.61083,0.0200000000004366,0.0199999999995271
"num.trees",4,"mtry",4,1046948673.03807,0.0299999999997453,0.0100000000002183
"num.trees",4,"mtry",5,921234537.948735,0.0200000000004366,0.0199999999995271
"num.trees",4,"mtry",6,718129267.521278,0.0199999999995271,0.0200000000004366
"num.trees",4,"mtry",7,875857000.521945,0.0300000000006548,0.0100000000002183
"num.trees",4,"mtry",8,800796391.772862,0.0299999999997453,0.0199999999995271
"num.trees",4,"mtry",9,746630880.678223,0.0299999999997453,0.0100000000002183
"num.trees",4,"mtry",10,1007063999.80446,0.0300000000006548,0.0200000000004366
"num.trees",4,"mtry",11,896923194.238855,0.0299999999997453,0.00999999999930878
"num.trees",4,"mtry",12,901241489.753507,0.0499999999992724,0.0199999999995271
"num.trees",4,"mtry",13,842687186.985285,0.0399999999999636,0.0100000000002183
"num.trees",4,"mtry",14,697585815.453147,0.0300000000006548,0.0299999999997453
"num.trees",4,"mtry",15,882837515.852487,0.0299999999997453,0.0299999999997453
"num.trees",4,"mtry",16,736441714.161831,0.0300000000006548,0.0300000000006548
"num.trees",4,"mtry",17,872961061.063504,0.0299999999997453,0.0199999999995271
"num.trees",4,"mtry",18,734177428.853289,0.0299999999997453,0.0100000000002183
"num.trees",4,"mtry",19,680405204.712963,0.0399999999999636,0.0199999999995271
"num.trees",4,"mtry",20,927247193.203358,0.0500000000001819,0.0100000000002183
"num.trees",4,"mtry",21,860849232.624774,0.0299999999997453,0.0299999999997453
"num.trees",4,"mtry",22,972733246.468604,0.0399999999999636,0.0300000000006548
"num.trees",4,"mtry",23,804340785.806176,0.0299999999997453,0.00999999999930878
"num.trees",4,"mtry",24,809750174.534463,0.0499999999992724,0.0199999999995271
"num.trees",4,"mtry",25,934142624.181539,0.0399999999999636,0.0200000000004366
"num.trees",4,"mtry",26,845718005.444169,0.0299999999997453,0.00999999999930878
"num.trees",4,"mtry",27,913518411.748287,0.0299999999997453,0.0100000000002183
"num.trees",4,"mtry",28,890924112.99655,0.0299999999997453,0.0199999999995271
"num.trees",4,"mtry",29,876599113.792361,0.0499999999992724,0.0199999999995271
"num.trees",4,"mtry",30,884037636.166309,0.0299999999997453,0.0200000000004366
"num.trees",4,"mtry",31,789508051.589661,0.0300000000006548,0.0299999999997453
"num.trees",4,"mtry",32,754810228.807014,0.0299999999997453,0.0100000000002183
"num.trees",4,"mtry",33,982471717.749072,0.0500000000001819,0.00999999999930878
"num.trees",4,"mtry",34,708281463.678417,0.0499999999992724,0.0199999999995271
"num.trees",4,"mtry",35,820930419.74923,0.0500000000001819,0.0200000000004366
"num.trees",4,"mtry",36,971779491.857826,0.0399999999999636,0.0200000000004366
"num.trees",4,"mtry",37,973570854.699995,0.0399999999999636,0.0199999999995271
"num.trees",4,"mtry",38,846726758.450814,0.0299999999997453,0.0100000000002183
"num.trees",4,"mtry",39,882119147.469776,0.0700000000006185,0.0100000000002183
"num.trees",4,"mtry",40,879138539.592203,0.0299999999997453,0.0199999999995271
"num.trees",4,"mtry",41,837703520.551276,0.0399999999999636,0.0200000000004366
"num.trees",4,"mtry",42,814911642.528135,0.0399999999999636,0.0299999999997453
"num.trees",4,"mtry",43,889227410.395425,0.0499999999992724,0.0299999999997453
"num.trees",4,"mtry",44,728592435.73873,0.0500000000001819,0.00999999999930878
"num.trees",4,"mtry",45,888775256.969691,0.0500000000001819,0.0100000000002183
"num.trees",4,"mtry",46,951136008.853385,0.0500000000001819,0.0100000000002183
"num.trees",4,"mtry",47,914324895.430851,0.0500000000001819,0.0200000000004366
"num.trees",4,"mtry",48,781141521.370994,0.0399999999999636,0.0199999999995271
"num.trees",4,"mtry",49,764708766.64721,0.0399999999999636,0.0200000000004366
"num.trees",4,"mtry",50,808216439.377412,0.0399999999999636,0.0200000000004366
"num.trees",4,"mtry",51,757261644.681112,0.0500000000001819,0.0100000000002183
"num.trees",4,"mtry",52,833236532.83914,0.0500000000001819,0.0299999999997453
"num.trees",4,"mtry",53,934366611.010893,0.0399999999999636,0.0199999999995271
"num.trees",4,"mtry",54,796891829.268147,0.0700000000006185,0.0299999999997453
"num.trees",4,"mtry",55,771969900.675481,0.0399999999999636,0.0199999999995271
"num.trees",4,"mtry",56,822522874.176367,0.069999999999709,0.0299999999997453
"num.trees",4,"mtry",57,768469852.806788,0.0600000000004002,0.0299999999997453
"num.trees",4,"mtry",58,808167237.448602,0.0500000000001819,0.0200000000004366
"num.trees",4,"mtry",59,775948646.276189,0.0399999999999636,0.0100000000002183
"num.trees",4,"mtry",60,694472419.797879,0.0500000000001819,0.00999999999930878
"num.trees",5,"mtry",1,1535166718.07378,0.0199999999995271,0.00999999999930878
"num.trees",5,"mtry",2,983001793.495836,0.0299999999997453,0.0200000000004366
"num.trees",5,"mtry",3,1033861278.57687,0.0299999999997453,0.0199999999995271
"num.trees",5,"mtry",4,907915440.804176,0.0199999999995271,0.0100000000002183
"num.trees",5,"mtry",5,845821915.337146,0.0200000000004366,0.0100000000002183
"num.trees",5,"mtry",6,711322548.527159,0.0300000000006548,0.0200000000004366
"num.trees",5,"mtry",7,910860242.307902,0.0299999999997453,0.00999999999930878
"num.trees",5,"mtry",8,698134041.305948,0.0299999999997453,0.0200000000004366
"num.trees",5,"mtry",9,755626042.68893,0.0300000000006548,0.0100000000002183
"num.trees",5,"mtry",10,889676065.411016,0.0299999999997453,0.0199999999995271
"num.trees",5,"mtry",11,878104378.338609,0.0299999999997453,0.0299999999997453
"num.trees",5,"mtry",12,812102592.480241,0.0299999999997453,0.0200000000004366
"num.trees",5,"mtry",13,745860979.881966,0.0300000000006548,0.0100000000002183
"num.trees",5,"mtry",14,605319671.98575,0.0299999999997453,0.0199999999995271
"num.trees",5,"mtry",15,811481519.729791,0.0299999999997453,0.0100000000002183
"num.trees",5,"mtry",16,648426273.43863,0.0300000000006548,0.0200000000004366
"num.trees",5,"mtry",17,778661940.715177,0.0299999999997453,0.0299999999997453
"num.trees",5,"mtry",18,640908223.994445,0.0299999999997453,0.0199999999995271
"num.trees",5,"mtry",19,621738847.058022,0.0399999999999636,0.0100000000002183
"num.trees",5,"mtry",20,791767022.206908,0.0500000000001819,0.0299999999997453
"num.trees",5,"mtry",21,774189176.38981,0.0299999999997453,0.0200000000004366
"num.trees",5,"mtry",22,800001519.78282,0.0399999999999636,0.0299999999997453
"num.trees",5,"mtry",23,834163240.006657,0.0299999999997453,0.0100000000002183
"num.trees",5,"mtry",24,722903478.331925,0.0399999999999636,0.0399999999999636
"num.trees",5,"mtry",25,778158274.012321,0.0500000000001819,0.0100000000002183
"num.trees",5,"mtry",26,710621890.845258,0.0299999999997453,0.0100000000002183
"num.trees",5,"mtry",27,797180573.746473,0.0300000000006548,0.00999999999930878
"num.trees",5,"mtry",28,750632987.920402,0.0299999999997453,0.0399999999999636
"num.trees",5,"mtry",29,808185035.057996,0.0399999999999636,0.0300000000006548
"num.trees",5,"mtry",30,850540089.674242,0.0500000000001819,0.00999999999930878
"num.trees",5,"mtry",31,717907024.735943,0.0500000000001819,0.0300000000006548
"num.trees",5,"mtry",32,734924584.401898,0.0299999999997453,0.0199999999995271
"num.trees",5,"mtry",33,945237512.120869,0.0399999999999636,0.0199999999995271
"num.trees",5,"mtry",34,731136403.844488,0.0500000000001819,0.0100000000002183
"num.trees",5,"mtry",35,852513157.990556,0.0500000000001819,0.0100000000002183
"num.trees",5,"mtry",36,879249947.105141,0.0500000000001819,0.00999999999930878
"num.trees",5,"mtry",37,844409590.17775,0.0499999999992724,0.0199999999995271
"num.trees",5,"mtry",38,807098601.134159,0.0500000000001819,0.0200000000004366
"num.trees",5,"mtry",39,846344682.240015,0.0399999999999636,0.0200000000004366
"num.trees",5,"mtry",40,882317831.533252,0.0500000000001819,0.0100000000002183
"num.trees",5,"mtry",41,786982892.385094,0.0500000000001819,0.0200000000004366
"num.trees",5,"mtry",42,771014288.549425,0.0399999999999636,0.0199999999995271
"num.trees",5,"mtry",43,927262320.338441,0.0399999999999636,0.0200000000004366
"num.trees",5,"mtry",44,760402100.988553,0.0399999999999636,0.0200000000004366
"num.trees",5,"mtry",45,895413541.811585,0.0500000000001819,0.0200000000004366
"num.trees",5,"mtry",46,881463407.37674,0.0399999999999636,0.0300000000006548
"num.trees",5,"mtry",47,886242792.422733,0.0500000000001819,0.0100000000002183
"num.trees",5,"mtry",48,780434789.902334,0.0500000000001819,0.0200000000004366
"num.trees",5,"mtry",49,721805718.595952,0.0399999999999636,0.0199999999995271
"num.trees",5,"mtry",50,823445397.482849,0.0599999999994907,0.00999999999930878
"num.trees",5,"mtry",51,750362725.35212,0.0499999999992724,0.0199999999995271
"num.trees",5,"mtry",52,764250102.431537,0.0500000000001819,0.0200000000004366
"num.trees",5,"mtry",53,959017500.012326,0.0600000000004002,0.0100000000002183
"num.trees",5,"mtry",54,838140007.376261,0.0500000000001819,0.0100000000002183
"num.trees",5,"mtry",55,806507874.062005,0.0500000000001819,0.0100000000002183
"num.trees",5,"mtry",56,765730080.577599,0.0500000000001819,0.0100000000002183
"num.trees",5,"mtry",57,797182083.882745,0.0600000000004002,0.0200000000004366
"num.trees",5,"mtry",58,807029690.584923,0.0500000000001819,0.0300000000006548
"num.trees",5,"mtry",59,811063414.726113,0.0399999999999636,0.0200000000004366
"num.trees",5,"mtry",60,734012207.527371,0.0600000000004002,0.0100000000002183
"num.trees",6,"mtry",1,1468504262.13687,0.0399999999999636,0.0199999999995271
"num.trees",6,"mtry",2,1005125570.92968,0.0199999999995271,0.0399999999999636
"num.trees",6,"mtry",3,990822887.268174,0.0100000000002183,0.0300000000006548
"num.trees",6,"mtry",4,866513938.711854,0.0200000000004366,0.0199999999995271
"num.trees",6,"mtry",5,833536596.401274,0.0299999999997453,0.0100000000002183
"num.trees",6,"mtry",6,694472367.921237,0.0300000000006548,0.0200000000004366
"num.trees",6,"mtry",7,824831262.166882,0.0299999999997453,0.00999999999930878
"num.trees",6,"mtry",8,689335758.378964,0.0299999999997453,0.0299999999997453
"num.trees",6,"mtry",9,742390804.714778,0.0299999999997453,0.0399999999999636
"num.trees",6,"mtry",10,817911985.280969,0.0299999999997453,0.0299999999997453
"num.trees",6,"mtry",11,854746015.961608,0.0399999999999636,0.0300000000006548
"num.trees",6,"mtry",12,830935751.12359,0.0299999999997453,0.00999999999930878
"num.trees",6,"mtry",13,685522844.379625,0.0199999999995271,0.0200000000004366
"num.trees",6,"mtry",14,571702893.512614,0.0300000000006548,0.0100000000002183
"num.trees",6,"mtry",15,781113684.059824,0.0299999999997453,0.0199999999995271
"num.trees",6,"mtry",16,649531198.179038,0.0499999999992724,0.0299999999997453
"num.trees",6,"mtry",17,762996080.980615,0.0299999999997453,0.0200000000004366
"num.trees",6,"mtry",18,597448122.504578,0.0399999999999636,0.0199999999995271
"num.trees",6,"mtry",19,634777313.222105,0.0299999999997453,0.0299999999997453
"num.trees",6,"mtry",20,801084270.961787,0.0500000000001819,0.0200000000004366
"num.trees",6,"mtry",21,726238306.806047,0.0299999999997453,0.0299999999997453
"num.trees",6,"mtry",22,761458505.688341,0.0300000000006548,0.0100000000002183
"num.trees",6,"mtry",23,798842294.401296,0.0399999999999636,0.0199999999995271
"num.trees",6,"mtry",24,726758519.208435,0.0399999999999636,0.0100000000002183
"num.trees",6,"mtry",25,795059146.987021,0.0500000000001819,0.0299999999997453
"num.trees",6,"mtry",26,652042290.631749,0.0399999999999636,0.0200000000004366
"num.trees",6,"mtry",27,813732500.948968,0.0500000000001819,0.0100000000002183
"num.trees",6,"mtry",28,765795091.539339,0.0500000000001819,0.00999999999930878
"num.trees",6,"mtry",29,776675630.615374,0.0299999999997453,0.0100000000002183
"num.trees",6,"mtry",30,856191004.828061,0.069999999999709,0.0199999999995271
"num.trees",6,"mtry",31,726481805.572537,0.0500000000001819,0.0100000000002183
"num.trees",6,"mtry",32,721134505.352697,0.0299999999997453,0.0199999999995271
"num.trees",6,"mtry",33,891937927.118793,0.0399999999999636,0.0200000000004366
"num.trees",6,"mtry",34,711387728.374161,0.0299999999997453,0.00999999999930878
"num.trees",6,"mtry",35,849690375.67851,0.0499999999992724,0.0199999999995271
"num.trees",6,"mtry",36,855784835.164544,0.0500000000001819,0.0299999999997453
"num.trees",6,"mtry",37,826092064.021031,0.0500000000001819,0.0100000000002183
"num.trees",6,"mtry",38,810926165.207354,0.0500000000001819,0.0100000000002183
"num.trees",6,"mtry",39,850407582.810595,0.0500000000001819,0.0200000000004366
"num.trees",6,"mtry",40,866108340.906533,0.0399999999999636,0.0199999999995271
"num.trees",6,"mtry",41,766755739.736238,0.0399999999999636,0.0200000000004366
"num.trees",6,"mtry",42,837514457.016594,0.0399999999999636,0.0200000000004366
"num.trees",6,"mtry",43,926258622.164365,0.0500000000001819,0.0200000000004366
"num.trees",6,"mtry",44,794351807.991937,0.0399999999999636,0.0300000000006548
